Load #,Zone,LoadType,UtilityType,% of system load
0,0,D_Residential,U_Residential,3.8
1,1,D_IndustryBase,U_IndustryBase,3.4
2,0,D_ IndustryPeak,U_ IndustryPeak,6.3
3,1,D_Residential,U_Residential,2.6
4,0,D_IndustryBase,U_IndustryBase,2.5
5,1,D_ IndustryPeak,U_ IndustryPeak,4.8
6,0,D_Residential,U_Residential,4.4
7,1,D_IndustryBase,U_IndustryBase,6
8,0,D_ IndustryPeak,U_ IndustryPeak,6.1
9,1,D_Residential,U_Residential,6.8
10,0,D_IndustryBase,U_IndustryBase,9.3
11,1,D_ IndustryPeak,U_ IndustryPeak,6.8
12,0,D_Residential,U_Residential,11.1
13,1,D_IndustryBase,U_IndustryBase,3.5
14,0,D_ IndustryPeak,U_ IndustryPeak,11.7
15,1,D_Residential,U_Residential,6.4
16,0,D_IndustryBase,U_IndustryBase,4.5
