Unit #,Zone,Technology,Emission Facor [t/MWh],Efficiency,P_max (MW),P_min (MW),P_max current (MW),R_plus (MW),R_minus (MW),R_U (MW/h),R_D (MW/h),UT (h),DT (h),C_i ($/MWh),C_i^u ($/MWh),C_i^d ($/MWh),C_i^+ ($/MWh),C_i^- ($/MWh),C_i^{su} ($),P_i^{ini} (MW),U_i^{ini} (0/1),T_i^{ini} (h)
1,0,Coal,0,1,1250,0,1250,40,40,120,120,8,4,70,70,70,70,70,70,76,1,22
2,0,Coal,0,1,0,0,0,40,40,120,120,8,4,70,70,70,70,70,70,76,1,22
3,0,Coal,0,1,0,0,0,70,70,350,350,8,8,70,70,70,70,70,70,0,0,-2
4,0,Gas,0,1,1000,0,1000,180,180,240,240,12,10,130,130,130,130,130,130,0,0,-1
5,0,Coal,0,1,0,0,0,30,30,155,155,8,8,70,70,70,70,70,70,0,0,-2
6,0,Wind,0,1,0,0,0,40,40,240,240,8,8,0,0,0,0,0,0,280,0,50
7,0,Wind,0,1,0,0,0,,,,,,,0,0,0,0,0,0,,,
8,0,PV,0,1,0,0,0,,,,,,,0,0,0,0,0,0,,,
9,1,Gas,0,1,500,0,500,60,60,60,60,4,2,130,130,130,130,130,130,0,0,-1
10,1,Coal,0,1,1000,0,1000,30,30,155,155,8,8,70,70,70,70,70,70,124,1,10
11,1,Wind,0,1,1500,0,1500,0,0,280,280,1,1,0,0,0,0,0,0,240,1,50
12,1,Wind,0,1,0,0,0,0,0,280,280,1,1,0,0,0,0,0,0,240,1,16
13,1,PV,0,1,500,0,500,0,0,300,300,0,0,0,0,0,0,0,0,240,1,24
14,1,Wind,0,1,0,0,0,60,60,180,180,8,8,0,0,0,0,0,0,248,1,10
15,1,Gas,0,1,0,0,0,,,,,,,130,130,130,130,130,130,,,
16,1,Coal,0,1,0,0,0,,,,,,,70,70,70,70,70,70,,,
