Zone,Year,Season,Hour,MCP
0,0,0,0,74
0,0,0,1,75
0,0,0,2,75
0,0,0,3,75
0,0,0,4,75
0,0,0,5,75
0,0,0,6,75
0,0,0,7,75
0,0,0,8,75
0,0,0,9,75
0,0,0,10,75
0,0,0,11,75
0,0,0,12,75
0,0,0,13,75
0,0,0,14,75
0,0,0,15,75
0,0,0,16,75
0,0,0,17,75
0,0,0,18,75
0,0,0,19,75
0,0,0,20,75
0,0,0,21,75
0,0,0,22,75
0,0,0,23,75
1,0,0,0,80
1,0,0,1,80
1,0,0,2,80
1,0,0,3,80
1,0,0,4,80
1,0,0,5,80
1,0,0,6,80
1,0,0,7,80
1,0,0,8,80
1,0,0,9,80
1,0,0,10,80
1,0,0,11,80
1,0,0,12,80
1,0,0,13,80
1,0,0,14,80
1,0,0,15,80
1,0,0,16,80
1,0,0,17,80
1,0,0,18,80
1,0,0,19,80
1,0,0,20,80
1,0,0,21,80
1,0,0,22,80
1,0,0,23,80
