Year,C_gas,C_coal ,C_Co2tax
0,1,1,1
1,1.008,1,1
2,1.016064,1,1
3,1.024192512,1,1
4,1.032386052,1,1.142857143
5,1.040645141,1,1.142857143
6,1.042726431,1,1.142857143
7,1.044811884,1,1.142857143
8,1.046901507,1,1.142857143
9,1.04899531,1,1.142857143
10,1.051093301,1,1.142857143
11,1.053195488,1,1.428571429
12,1.055301879,1,1.428571429
13,1.057412482,1,1.428571429
14,1.059527307,1,1.428571429
15,1.061646362,1,1.428571429
16,1.054214837,1.02,2.142857143
17,1.046835334,1.02,2.142857143
18,1.039507486,1.02,2.142857143
19,1.032230934,1.02,2.857142857
20,1.025005317,1.02,2.857142857
21,1.01783028,1.02,2.857142857
22,1.010705468,1.02,5.714285714
23,1.00363053,1.02,5.714285714
24,0.996605116,1.02,5.714285714
25,0.98962888,1.02,5.714285714
26,0.982701478,1.05,5.714285714
27,0.975822568,1.05,11.42857143
28,0.96899181,1.05,11.42857143
29,0.962208867,1.05,11.42857143
