Season,Hour,WindZ1,WindZ2,PVZ1,PVZ2
1,1,0.500928678,0.682578009,0,0
1,2,0.449758544,0.676634473,0,0
1,3,0.461552749,0.66391159,0,0
1,4,0.461367013,0.667904903,0,0
1,5,0.410846954,0.658432392,0,0
1,6,0.296062407,0.666233284,0,0
1,7,0.220839525,0.668554978,0,0
1,8,0.1647474,0.655274889,0.047854785,0.029867987
1,9,0.122213967,0.678120357,0.115676551,0.076732673
1,10,0.069478081,0.678027489,0.167326733,0.112706254
1,11,0.053677563,0.70820951,0.186633647,0.122607244
1,12,0.110143014,0.729829123,0.17359736,0.113531337
1,13,0.208748143,0.704680535,0.129372937,0.075247525
1,14,0.355869242,0.673291233,0.063531353,0.034158399
1,15,0.481983655,0.647288262,0,0
1,16,0.569093611,0.658989599,0,0
1,17,0.602804606,0.590453195,0,0
1,18,0.630664933,0.511329866,0,0
1,19,0.661218425,0.429420505,0,0
1,20,0.675130015,0.349182764,0,0
1,21,0.707745171,0.292440565,0,0
1,22,0.699665676,0.272659733,0,0
1,23,0.685364042,0.22808321,0,0
1,24,0.674962853,0.201430163,0,0
2,1,0.319159125,0.177225473,0,0
2,2,0.294305482,0.110881673,0,0
2,3,0.181302111,0.028030866,0,0
2,4,0.111938975,0.011353557,0.026542324,0.035581062
2,5,0.109536988,0.023237538,0.103586801,0.12625538
2,6,0.104312576,0.048784815,0.20459109,0.237589656
2,7,0.108921412,0.064841226,0.296987088,0.352367274
2,8,0.11637041,0.07274082,0.400860818,0.464275466
2,9,0.11566436,0.087991838,0.49856528,0.553945481
2,10,0.124356927,0.090828455,0.540889527,0.608177891
2,11,0.133585239,0.086398792,0.558106169,0.61061693
2,12,0.138550646,0.080361895,0.565997131,0.567575323
2,13,0.170656378,0.097214831,0.509038737,0.509469154
2,14,0.221216959,0.146886642,0.43543759,0.422812037
2,15,0.317810892,0.243835373,0.326111908,0.326685782
2,16,0.368281001,0.361983324,0.206025811,0.212912482
2,17,0.401632074,0.44988469,0.095265423,0.103156385
2,18,0.419017208,0.493170126,0.010329986,0.012912482
2,19,0.421660458,0.546922122,0,0
2,20,0.406244456,0.525634203,0,0
2,21,0.336721659,0.444562711,0,0
2,22,0.250487848,0.328277453,0,0
2,23,0.198687245,0.310094022,0,0
2,24,0.177044527,0.39737449,0,0
3,1,0.012647263,0.248440748,0.000369004,0.000369004
3,2,0.011607762,0.249324323,0.010086089,0.00627305
3,3,0.025814276,0.243503119,0.075891759,0.044772435
3,4,0.034476784,0.245148995,0.164452632,0.10123
3,5,0.080734581,0.252702701,0.27404674,0.158671587
3,6,0.177494802,0.223839224,0.38499385,0.208364084
3,7,0.201749827,0.22203742,0.489052891,0.272570713
3,8,0.205647956,0.195252945,0.569126679,0.269618684
3,9,0.152461883,0.193520444,0.623862226,0.339114379
3,10,0.13176022,0.18511781,0.664575633,0.35399754
3,11,0.146569647,0.169610187,0.654366544,0.391389902
3,12,0.162156965,0.18988219,0.645141451,0.415744157
3,13,0.167706168,0.178620929,0.570971697,0.38204182
3,14,0.194733195,0.158432086,0.474784748,0.361131611
3,15,0.236659737,0.169450797,0.398154969,0.312546113
3,16,0.244196119,0.182172557,0.321525203,0.245510443
3,17,0.281531532,0.201316701,0.217835166,0.181549803
3,18,0.297124047,0.234753985,0.119065178,0.109840086
3,19,0.305440055,0.25987526,0.049569483,0.050553506
3,20,0.273388773,0.252858628,0.004674034,0.005289041
3,21,0.291233541,0.234580735,0,0
3,22,0.274168399,0.211884962,0,0
3,23,0.258749134,0.145445251,0,0
3,24,0.251905752,0.117633403,0,0
4,1,0.096861289,0.235993925,0,0
4,2,0.056528856,0.137360783,0,0
4,3,0.048685452,0.146302734,0,0
4,4,0.029024637,0.157273034,0,0
4,5,0.026498481,0.16520081,0.009708738,0.017044229
4,6,0.030545054,0.162078974,0.062028047,0.077669903
4,7,0.039232197,0.159549443,0.114347357,0.160733549
4,8,0.053999325,0.161743166,0.177993528,0.263969784
4,9,0.071549106,0.142085724,0.233872708,0.333764822
4,10,0.079480256,0.127745526,0.26343041,0.387486505
4,11,0.078130273,0.13178704,0.287270766,0.404746483
4,12,0.090280121,0.155244684,0.286299881,0.387378641
4,13,0.111879852,0.171954101,0.234843571,0.349622438
4,14,0.136684104,0.140906174,0.173678533,0.283710895
4,15,0.130791428,0.098548768,0.111003236,0.19180151
4,16,0.11677354,0.060249747,0.042179072,0.091154261
4,17,0.124703004,0.035099561,0.000755124,0.004207109
4,18,0.120148498,0.012318596,0,0
4,19,0.167141411,0.003712454,0,0
4,20,0.269827877,0.002699966,0,0
4,21,0.328045899,0.015524806,0,0
4,22,0.342895714,0.001518731,0,0
4,23,0.376476544,0.004556193,0,0
4,24,0.369220385,0.00556868,0,0
5,1,0.331574864,0.663630721,0,0
5,2,0.368766484,0.694957331,0,0
5,3,0.390768037,0.743910008,0,0
5,4,0.390861131,0.776648565,0,0
5,5,0.42909232,0.820325834,0,0
5,6,0.48386346,0.813498836,0,0
5,7,0.511093871,0.823429015,0,0
5,8,0.523351435,0.815360745,0.002833998,0.004959514
5,9,0.516757176,0.829712956,0.03694332,0.039271245
5,10,0.508145849,0.84026377,0.061538451,0.060526306
5,11,0.496353763,0.837377811,0.06902834,0.061234818
5,12,0.488518231,0.783397983,0.050101215,0.044534413
5,13,0.505430566,0.690054304,0.015283401,0.01305668
5,14,0.490147401,0.617377812,0,0
5,15,0.573467804,0.565865012,0,0
5,16,0.51450737,0.454150504,0,0
5,17,0.487432118,0.412257564,0,0
5,18,0.471388672,0.418774244,0,0
5,19,0.446159814,0.349728472,0,0
5,20,0.473390225,0.319006982,0,0
5,21,0.537005431,0.310318076,0,0
5,22,0.54102405,0.286268425,0,0
5,23,0.496121024,0.233048875,0,0
5,24,0.426764934,0.215050427,0,0
